310M200US17980,17980,303626,"Columbus, GA-AL Metro Area",Columbus GA Metro Area,Columbus GA
310M200US14500,14500,301072,"Boulder, CO Metro Area",Boulder Metro Area,Boulder
310M200US46540,46540,298634,"Utica-Rome, NY Metro Area",Utica Metro Area,Utica
310M200US31180,31180,294530,"Lubbock, TX Metro Area",Lubbock Metro Area,Lubbock
310M200US21500,21500,280518,"Erie, PA Metro Area",Erie Metro Area,Erie
310M200US22900,22900,280228,"Fort Smith, AR-OK Metro Area",Fort Smith Metro Area,Fort Smith
310M200US20260,20260,279719,"Duluth, MN-WI Metro Area",Duluth Metro Area,Duluth
310M200US12100,12100,274960,"Atlantic City-Hammonton, NJ Metro Area",Atlantic City Metro Area,Atlantic City
310M200US35980,35980,274090,"Norwich-New London, CT Metro Area",Norwich Metro Area,Norwich
310M200US42020,42020,272094,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",San Luis Obispo Metro Area,San Luis Obispo
310M200US23540,23540,266765,"Gainesville, FL Metro Area",Gainesville FL Metro Area,Gainesville FL
310M200US17300,17300,266098,"Clarksville, TN-KY Metro Area",Clarksville Metro Area,Clarksville
310M200US42100,42100,264808,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz Metro Area,Santa Cruz
310M200US28420,28420,260827,"Kennewick-Richland, WA Metro Area",Kennewick Metro Area,Kennewick
310M200US16300,16300,260033,"Cedar Rapids, IA Metro Area",Cedar Rapids Metro Area,Cedar Rapids
310M200US48900,48900,259815,"Wilmington, NC Metro Area",Wilmington Metro Area,Wilmington
310M200US24540,24540,258780,"Greeley, CO Metro Area",Greeley Metro Area,Greeley
310M200US32900,32900,258707,"Merced, CA Metro Area",Merced Metro Area,Merced
310M200US36500,36500,256080,"Olympia-Tumwater, WA Metro Area",Olympia Metro Area,Olympia
310M200US47380,47380,255035,"Waco, TX Metro Area",Waco Metro Area,Waco
310M200US29700,29700,254829,"Laredo, TX Metro Area",Laredo Metro Area,Laredo
310M200US11100,11100,254583,"Amarillo, TX Metro Area",Amarillo Metro Area,Amarillo
310M200US25180,25180,254247,"Hagerstown-Martinsburg, MD-WV Metro Area",Hagerstown Metro Area,Hagerstown
310M200US31340,31340,253959,"Lynchburg, VA Metro Area",Lynchburg Metro Area,Lynchburg
310M200US14740,14740,252687,"Bremerton-Silverdale, WA Metro Area",Bremerton Metro Area,Bremerton
310M200US13780,13780,250087,"Binghamton, NY Metro Area",Binghamton NY Metro Area,Binghamton NY
310M200US49420,49420,244654,"Yakima, WA Metro Area",Yakima Metro Area,Yakima
310M200US18880,18880,242442,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Crestview Metro Area,Crestview
310M200US45820,45820,234089,"Topeka, KS Metro Area",Topeka Metro Area,Topeka
310M200US43620,43620,233750,"Sioux Falls, SD Metro Area",Sioux Falls Metro Area,Sioux Falls
310M200US16580,16580,233039,"Champaign-Urbana, IL Metro Area",Champaign Metro Area,Champaign
310M200US31420,31420,232202,"Macon, GA Metro Area",Macon Metro Area,Macon
310M200US46220,46220,231934,"Tuscaloosa, AL Metro Area",Tuscaloosa Metro Area,Tuscaloosa
310M200US17780,17780,231417,"College Station-Bryan, TX Metro Area",College Station Metro Area,College Station
310M200US11540,11540,227301,"Appleton, WI Metro Area",Appleton Metro Area,Appleton
310M200US16620,16620,226180,"Charleston, WV Metro Area",Charleston WV Metro Area,Charleston WV
310M200US16820,16820,220802,"Charlottesville, VA Metro Area",Charlottesville Metro Area,Charlottesville
310M200US17020,17020,220542,"Chico, CA Metro Area",Chico Metro Area,Chico
310M200US12700,12700,215449,"Barnstable Town, MA Metro Area",Barnstable Town Metro Area,Barnstable Town
310M200US30980,30980,215406,"Longview, TX Metro Area",Longview Metro Area,Longview
310M200US22020,22020,213718,"Fargo, ND-MN Metro Area",Fargo Metro Area,Fargo
310M200US15540,15540,212640,"Burlington-South Burlington, VT Metro Area",Burlington VT Metro Area,Burlington VT
310M200US46340,46340,212227,"Tyler, TX Metro Area",Tyler Metro Area,Tyler
310M200US39140,39140,211968,"Prescott, AZ Metro Area",Prescott Metro Area,Prescott
310M200US29740,29740,211175,"Las Cruces, NM Metro Area",Las Cruces Metro Area,Las Cruces
310M200US44100,44100,210956,"Springfield, IL Metro Area",Springfield IL Metro Area,Springfield IL
310M200US40340,40340,208641,"Rochester, MN Metro Area",Rochester MN Metro Area,Rochester MN
310M200US26380,26380,208623,"Houma-Thibodaux, LA Metro Area",Houma Metro Area,Houma
310M200US22500,22500,205739,"Florence, SC Metro Area",Florence SC Metro Area,Florence SC
310M200US32780,32780,205117,"Medford, OR Metro Area",Medford Metro Area,Medford
310M200US29200,29200,204560,"Lafayette-West Lafayette, IN Metro Area",Lafayette IN Metro Area,Lafayette IN
310M200US13380,13380,203211,"Bellingham, WA Metro Area",Bellingham Metro Area,Bellingham
310M200US29420,29420,201680,"Lake Havasu City-Kingman, AZ Metro Area",Lake Havasu City Metro Area,Lake Havasu City
310M200US29340,29340,200317,"Lake Charles, LA Metro Area",Lake Charles Metro Area,Lake Charles
310M200US27740,27740,199583,"Johnson City, TN Metro Area",Johnson City Metro Area,Johnson City
310M200US49740,49740,199026,"Yuma, AZ Metro Area",Yuma Metro Area,Yuma
310M200US40980,40980,198841,"Saginaw, MI Metro Area",Saginaw Metro Area,Saginaw
310M200US21140,21140,198662,"Elkhart-Goshen, IN Metro Area",Elkhart Metro Area,Elkhart
310M200US39540,39540,195045,"Racine, WI Metro Area",Racine Metro Area,Racine
310M200US12020,12020,194878,"Athens-Clarke County, GA Metro Area",Athens Metro Area,Athens
310M200US25940,25940,190762,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",Hilton Head Island Metro Area,Hilton Head Island
310M200US41060,41060,189809,"St. Cloud, MN Metro Area",St. Cloud Metro Area,St. Cloud
310M200US14010,14010,187751,"Bloomington, IL Metro Area",Bloomington-Normal Metro Area,Bloomington-Normal
310M200US19300,19300,187114,"Daphne-Fairhope-Foley, AL Metro Area",Daphne Metro Area,Daphne
310M200US37460,37460,186497,"Panama City, FL Metro Area",Panama City Metro Area,Panama City
310M200US23580,23580,182841,"Gainesville, GA Metro Area",Gainesville GA Metro Area,Gainesville GA
310M200US47580,47580,182461,"Warner Robins, GA Metro Area",Warner Robins Metro Area,Warner Robins
310M200US28740,28740,182086,"Kingston, NY Metro Area",Kingston Metro Area,Kingston
310M200US27340,27340,179935,"Jacksonville, NC Metro Area",Jacksonville NC Metro Area,Jacksonville NC
310M200US13980,13980,178865,"Blacksburg-Christiansburg-Radford, VA Metro Area",Blacksburg Metro Area,Blacksburg
310M200US39820,39820,177966,"Redding, CA Metro Area",Redding Metro Area,Redding
310M200US33740,33740,177217,"Monroe, LA Metro Area",Monroe LA Metro Area,Monroe LA
310M200US27900,27900,175355,"Joplin, MO Metro Area",Joplin Metro Area,Joplin
310M200US20940,20940,175201,"El Centro, CA Metro Area",El Centro Metro Area,El Centro
310M200US45460,45460,172368,"Terre Haute, IN Metro Area",Terre Haute Metro Area,Terre Haute
310M200US34740,34740,171153,"Muskegon, MI Metro Area",Muskegon Metro Area,Muskegon
